Título Original,Duración,Género,Sinopsis
Klaus,97,"Animación, Fantástico, Comedia, Drama","Un cartero es enviado a una ciudad congelada en el norte, donde descubre que Papá Noel está escondido. A Jesper (voz de Quim Gutiérrez), el peor estudiante de la academia postal, le destinan a Smeerensburg, una gélida isla más allá del Círculo Polar Ártico, donde sus conflictivos habitantes apenas intercambian palabras y, mucho menos, cartas. Jesper está a punto de rendirse cuando encuentra una aliada, Alva (Belén Cuesta), la profesora del pueblo. También descubre a Klaus (Luis Tosar), un misterioso carpintero que vive aislado en una cabaña repleta de juguetes hechos a mano. Estas improbables amistades traerán la alegría de nuevo  a Smeerensburg, y crearán un nuevo legado de vecinos generosos, leyendas mágicas y calcetines colgados con cariño en las chimeneas."
Green Book,130,"Drama, Comedia","Año 1962. Tony Lip (Viggo Mortensen) es un rudo italoamericano del Bronx que es contratado como chófer del virtuoso pianista negro Don Shirley (Mahershala Ali). Ambos emprenderán un viaje para una gira de conciertos por el Sur de Estados Unidos, donde Tony deberá tener presente ""El libro verde"", una guía que indicaba los pocos establecimientos donde se aceptaba a los afroamericanos. Son dos personas que tendrán que hacer frente al racismo y los prejuicios, pero a las que el destino unirá, obligándoles a dejar de lado las diferencias para sobrevivir y prosperar en el viaje de sus vidas. (FILMAFFINITY)"
Kaguya-hime no Monogatari,137,"Animación, Fantástico, Drama","Basada en un cuento popular japonés anónimo del siglo IX, ""El cortador de bambú"". La historia comienza cuando una pareja de ancianos campesinos encuentra a una niña diminuta dentro de una planta de bambú, y deciden adoptarla como si fuera su hija. Pasan los años, y rápidamente se convierte en una hermosa mujer pretendida por muchos hombres poderosos. (FILMAFFINITY)"
The Wolf of Wall Street,179,"Comedia, Drama","Película basada en hechos reales del corredor de bolsa neoyorquino Jordan Belfort (Leonardo DiCaprio). A mediados de los años 80, Belfort era un joven honrado que perseguía el sueño americano, pero pronto en la agencia de valores aprendió que lo más importante no era hacer ganar a sus clientes, sino ser ambicioso y ganar una buena comisión. Su enorme éxito y fortuna le valió el mote de “El lobo de Wall Street”. Dinero. Poder. Mujeres. Drogas. Las tentaciones abundaban y el temor a la ley era irrelevante. Jordan y su manada de lobos consideraban que la discreción era una cualidad anticuada; nunca se conformaban con lo que tenían. (FILMAFFINITY)"
Song of the Sea,90,"Animación, Aventuras, Fantástico, Infantil","La historia del viaje a casa del último Niño Foca. Después de la desaparición de su madre, Ben y Saoirse son enviados a vivir con su abuela a la ciudad. Cuando deciden volver a su casa junto al mar, su viaje se convierte en una carrera contra el tiempo a medida que se internan en un mundo que Ben sólo conoce a través de las leyendas que le narraba su madre. Pero éste no es un cuento para dormir; estas criaturas llevan en nuestro mundo demasiado tiempo. Ben pronto se da cuenta de que Saoirse será la clave para su supervivencia. (FILMAFFINITY)"
Kaibutsu,126,Drama,"Cuando su joven hijo Minato empieza a comportarse de forma extraña, su madre siente que algo va mal. Al descubrir que el responsable de todo ello es un profesor, irrumpe en la escuela exigiendo saber qué está pasando. Pero a medida que la historia se desarrolla a través de los ojos de la madre, el profesor y el niño, la verdad va saliendo a la luz, poco a poco... (FILMAFFINITY)"
Da xiang xi di er zuo,234,Drama,"Un día desde el amanecer hasta el anochecer, con varios personajes intentando tomar un tren para escapar de la espiral descendente en la que se encuentran. (FILMAFFINITY)"
Avengers: Infinity War,156,"Ciencia ficción, Fantástico, Acción","El todopoderoso Thanos ha despertado con la promesa de arrasar con todo a su paso, portando el Guantelete del Infinito, que le confiere un poder incalculable. Los únicos capaces de pararle los pies son los Vengadores y el resto de superhéroes de la galaxia, que deberán estar dispuestos a sacrificarlo todo por un bien mayor. Capitán América e Ironman deberán limar sus diferencias, Black Panther apoyará con sus tropas desde Wakanda, Thor y los Guardianes de la Galaxia e incluso Spider-Man se unirán antes de que los planes de devastación y ruina pongan fin al universo. ¿Serán capaces de frenar el avance del titán del caos? (FILMAFFINITY)"
Mandariinid (Tangerines),83,"Drama, Bélico","En 1990, estalla la guerra en una provincia georgiana que busca la independencia. Ivo, un estonio, decide quedarse, a diferencia del resto de sus compatriotas, para ayudar a su amigo Margus con la cosecha de mandarinas. Al comenzar el conflicto, dos soldados resultan heridos delante de su casa, e Ivo se ve obligado a cuidar de ellos. (FILMAFFINITY)"
Close,104,Drama,"Léo y Rémi, de 13 años, son amigos de toda la vida. Hasta que un suceso impensable los separa. Léo se acerca entonces a Sophie, la madre de Rémi, para tratar de entender. (FILMAFFINITY)"
Dallas Buyers Club,117,Drama,"Basada en la vida real de Ron Woodroof, un cowboy de rodeo texano, drogadicto y mujeriego, al que en 1986 le diagnosticaron SIDA y le pronosticaron un mes de vida. Empezó entonces a tomar AZT, el único medicamento disponible en aquella época para luchar contra tan terrible enfermedad. (FILMAFFINITY)"
La La Land,127,"Musical, Romance, Comedia, Drama","Mia (Emma Stone), una joven aspirante a actriz que trabaja como camarera mientras acude a castings, y Sebastian (Ryan Gosling), un pianista de jazz que se gana la vida tocando en sórdidos tugurios, se enamoran, pero su gran ambición por llegar a la cima en sus carreras artísticas amenaza con separarlos. (FILMAFFINITY)"
Her,126,"Ciencia ficción, Romance, Drama","En un futuro cercano, Theodore, un hombre solitario a punto de divorciarse que trabaja en una empresa como escritor de cartas para terceras personas, compra un día un nuevo sistema operativo basado en el modelo de Inteligencia Artificial, diseñado para satisfacer todas las necesidades del usuario. Para su sorpresa, se crea una relación romántica entre él y Samantha, la voz femenina de ese sistema operativo. (FILMAFFINITY)"
Di jiu tian chang,180,Drama,"Liyun y Yaojun, una pareja de obreros, intenta recuperarse de una devastadora tragedia familiar en los tumultuosos años entre 1980 y el siglo XXI. Constreñidos por la política nacional de hijo único, sus vidas se transforman gradualmente por el impacto de la cambiante identidad nacional en China. (FILMAFFINITY)"
La grande bellezza,142,"Comedia, Drama","En Roma, durante el verano, nobles decadentes, arribistas, políticos, criminales de altos vuelos, periodistas, actores, prelados, artistas e intelectuales tejen una trama de relaciones inconsistentes que se desarrollan en fastuosos palacios y villas. El centro de todas las reuniones es Jep Gambardella (Toni Servillo), un escritor de 65 años que  escribió un solo libro y practica el periodismo. Dominado por la indolencia y el hastío, asiste a este desfile de personajes poderosos pero insustanciales, huecos y deprimentes. (FILMAFFINITY)"
Captain Fantastic,118,Drama,"Ben (Viggo Mortensen) es un hombre que ha pasado diez años viviendo en los remotos bosques situados en el noroeste de los Estados Unidos criando a sus seis hijos, varios de ellos junto a su mujer. Aislados totalmente de la vida moderna, de las comodidades de las ciudades y de la sociedad de consumo, Ben es un padre devoto que ha inculcado en sus hijos una peculiar forma de pensar y vivir la vida. Sin embargo, una trágica noticia hace que la peculiar familia deba dejar temporalmente su modo de vida en la naturaleza y volver a la civilización. (FILMAFFINITY)"
Mommy,139,Drama,"En una Canadá ficticia, se aprueba una ley que permite que los padres incapaces de controlar a sus hijos problemáticos les internen en un centro especial. Sin embargo, Diane ""Die"" Despres, una madre viuda con carácter, decide educar ella misma a su hijo adolescente Steve, que padece ADHD y que puede llegar a resultar violento. Kyla, la vecina de enfrente de su casa, le ofrece su ayuda a Die. La relación entre los tres se hará cada vez más estrecha, surgiendo preguntas sobre el misterio de su vida. (FILMAFFINITY)"
Nebraska,115,"Drama, Comedia","A Woody Grant, un anciano con síntomas de demencia, le comunican por correo que ha ganado un premio. Cree que se ha hecho rico y obliga a su receloso hijo David a emprender un viaje para ir a cobrarlo. Poco a poco, la relación entre ambos, rota durante años por el alcoholismo de Woody, tomará un cariz distinto para sorpresa de la madre y del triunfador hermano de David. (FILMAFFINITY)"
Te estoy amando locamente,107,Drama,"Sevilla, 1977. En un momento en el que la homosexualidad es delito, Reme, una madre tradicional movida por el amor de su hijo, un adolescente aspirante a artista, se involucrará en el movimiento LGTBI andaluz, gestado paradójicamente en el seno de la Iglesia. (FILMAFFINITY)"
Manbiki kazoku (Shoplifters),121,Drama,"Después de uno de sus habituales hurtos, Osamu y su hijo encuentran a una niña en la calle, aterida de frío. Al principio, la mujer de Osamu no quiere que se quede con ellos, pero acaba apiadándose de ella. A pesar de sobrevivir con dificultades gracias a pequeños robos, la familia es feliz, hasta que un incidente imprevisto revela un secreto que pone a prueba los lazos que les unen. (FILMAFFINITY)"
Portrait de la jeune fille en feu,120,"Drama, Romance","Francia, 1770. Marianne, una pintora, recibe un encargo de una condesa que consiste en realizar el retrato de bodas de su hija Héloïse, una joven que acaba de dejar el convento y que tiene serias dudas respecto a su próximo matrimonio. Marianne tiene que retratarla sin su conocimiento, por lo que se dedica a investigarla a diario. (FILMAFFINITY)"
La vie d'Adèle - Chapitre 1 & 2 (Blue Is the Warmest Color),180,"Romance, Drama","Adèle (Adèle Exarchopoulos) tiene quince años y sabe que lo normal es salir con chicos, pero tiene dudas sobre su sexualidad. Una noche conoce y se enamora inesperadamente de Emma (Léa Seydoux), una joven con el pelo azul. La atracción que despierta en ella una mujer que le muestra el camino del deseo y la madurez, hará que Adèle tenga que sufrir los juicios y prejuicios de familiares y amigos. Adaptación de la novela gráfica ""Blue"", de Julie Maroh. (FILMAFFINITY)"
1985,85,Drama,"Un joven homosexual veinteañero de Texas que todavía no ha salido del armario, Adrian (Cory Michael Smith), regresa a casa por vacaciones de Navidad por primera vez en varios años. Allí se dará cuenta de que le cuesta mucho revelar sus circunstancias a su conservadora familia... Inspirada en el corto homónimo del propio director. (FILMAFFINITY)"
Loving Vincent,95,"Animación, Drama","Año 1891. Un año después de la muerte de Vincent van Gogh, el cartero Roulin le pide a su hijo Armand que entregue personalmente la última carta de Van Gogh a su hermano, Theo, después de que sus intentos previos de enviársela hubieran fallado. A pesar de no haber apreciado a Van Gogh y recordar el incidente cuando el fallecido se mutiló su oreja y se la dio a una prostituta, Armand acepta con disgusto debido al afecto de su padre por el pintor..."
"Argentina, 1985",140,"Thriller, Drama","Inspirada en la historia real del fiscal Julio Strassera, Luis Moreno Ocampo y su joven equipo jurídico que se atrevieron a acusar, contra viento y marea, a contrarreloj y bajo constante amenaza, a los altos mandos de la sangrienta dictadura militar argentina (1976-1983) en el llamado Juicio a las Juntas de mediados de los años 80. Una batalla de David contra Goliat, con los héroes menos esperados. (FILMAFFINITY)"
Soul,100,"Animación, Fantástico, Drama, Comedia","¿Alguna vez te has preguntado de dónde provienen tu pasión, tus sueños y tus intereses? ¿Qué es lo que te hace ser... tú? Pixar te lleva en un viaje desde las calles de Nueva York a los reinos cósmicos para descubrir las respuestas a las preguntas más importantes de la vida."
Le otto montagne,147,Drama,"Pietro es un chico de ciudad, Bruno es el último niño de una localidad de montaña olvidada. Con el paso de los años, Bruno se mantiene fiel a su montaña, mientras que Pietro viene y va. Sus experiencias le harán enfrentarse al amor y a la pérdida, recordándoles sus orígenes y abriendo paso al destino. (FILMAFFINITY)"
Killers of the Flower Moon,206,"Thriller, Western, Drama","Ambientada en la Oklahoma de la década de 1920, narra los asesinatos en serie de los miembros de la nación indígena Osage, que era muy rica en petróleo; una serie de crímenes brutales que más tarde se conocería como el ""Reinado del Terror""."
Shin Evangerion Gekijoban,154,"Animación, Ciencia ficción, Acción, Drama","Cuarto y último volumen de La Reconstrucción de Evangelion. Misato y su grupo anti-NERV, Wille, llegan a una París roja por la nucleización. La tripulación de la nave Wunder aterriza en una torre de contención con solo 720 segundos para reestablecer la ciudad. Cuando una horda de Evas NERV aparece, la mejorada Unidad Eva 8 debe interceptarlos. Mientras, Shinji, Asuka y Rei merodean por Japón. (FILMAFFINITY)"
"Quo Vadis, Aida?",104,"Drama, Bélico","Bosnia, julio de 1995. Aida trabaja como traductora para la ONU en la pequeña ciudad de Srebrenica. Cuando el ejército serbio ocupa el pueblo, su familia está entre los miles de personas que buscan refugio en los campos de la ONU. Como participa en las negociaciones, Aida tiene acceso a información importante. (FILMAFFINITY)"
The Breadwinner,93,"Animación, Drama","Parvana es una chica de once años que vive en la capital de Afganistán, Kabul, durante el periodo de dominio de los talibanes. Al ser su padre detenido, los miembros de la familia se quedan sin recursos y, debido a que las mujeres tienen prohibido ganar dinero, deciden transformar a Parvana en un chico para poder trabajar. (FILMAFFINITY)"
Arrival,116,"Ciencia ficción, Drama","Cuando naves extraterrestres comienzan a llegar a la Tierra, los altos mandos militares piden ayuda a una experta lingüista (Amy Adams) para intentar averiguar si los alienígenas vienen en son de paz o suponen una amenaza. Poco a poco la mujer intentará aprender a comunicarse con los extraños invasores, poseedores de un lenguaje propio, para dar con la verdadera y misteriosa razón de la visita extraterrestre... Adaptación del relato corto ""The Story of Your Life"" del escritor Ted Chiang, ganador de los reconocidos premios de ciencia ficción Hugo y Nebula. (FILMAFFINITY)"
Kis Uykusu (Sommeil d'hiver),196,Drama,"Aydin, un actor jubilado, dirige un hotelito en Anatolia central con la ayuda de su joven esposa, de la que está muy distanciado, y de su hermana, una mujer triste porque se acaba de divorciar. En invierno, a medida que la nieve va cubriendo la estepa, el hotel se convierte en su refugio y en el escenario de su aflicción. (FILMAFFINITY)"
Kimetsu no Yaiba: Mugen Ressha-Hen,117,"Animación, Aventuras, Fantástico, Acción, Thriller, Drama","Tanjiro Kamado y sus amigos del Demon Slayer Corps acompañan a Kyōjurō Rengoku, el Flame Hashira, para investigar una misteriosa serie de desapariciones que ocurren dentro de un tren aparentemente infinitamente largo. Poco saben que Enmu, la última de las Lunas Inferiores de los Doce Kizuki, también está a bordo y les ha preparado una trampa."
12 Years a Slave (Twelve Years a Slave),133,Drama,"Basada en un hecho real ocurrido en 1850, narra la historia de Solomon Northup, un culto músico negro que vivía con su familia en Nueva York. Tras tomar una copa con dos hombres, Solomon descubre que ha sido drogado y secuestrado para ser vendido como esclavo en una plantación de Louisiana. Solomon contempla cómo todos a su alrededor sucumben a la violencia y a la desesperación. Pero él decide no rendirse y esperar a que llegue el momento oportuno para recuperar la libertad y volver con su familia. (FILMAFFINITY)"
An Cailín Ciúin,95,Drama,"La Irlanda rural, 1981. Cáit es una reservada niña de nueve años que está desatendida por parte de su pobre, disfuncional y demasiado numerosa familia. Se enfrenta en silencio con dificultades en la escuela y en casa, y ha aprendido a pasar desapercibida para cuantos la rodean. Cuando llega el verano y se acerca la fecha del parto de su madre, Cáit es enviada a vivir con unos parientes lejanos. Sin saber cuándo volverá a casa, se queda en el hogar de unos desconocidos sin más pertenencias que la ropa que lleva puesta. Poco a poco, y gracias a los cuidados de la familia Kinsella, Cáit realiza notables progresos y descubre una nueva forma de vivir. Pero en esta casa donde reina el afecto y no parece haber secretos, ella descubre una dolorosa verdad. (FILMAFFINITY)"
Ma Vie De Courgette,66,"Animación, Drama, Comedia","Calabacín es un niño valiente que después de perder a su madre tiene que ingresar en un hogar de acogida, con otros niños huérfanos de su edad. En un primer momento se esfuerza por encontrar su lugar en este nuevo medio hostil. Sin embargo, con la ayuda de sus nuevos amigos, Calabacín aprende a confiar, encuentra el verdadero amor y una nueva familia. (FILMAFFINITY)"
Avengers: Endgame,181,"Ciencia ficción, Fantástico, Acción","Después de los eventos devastadores de 'Avengers: Infinity War', el universo está en ruinas debido a las acciones de Thanos, el Titán Loco. Con la ayuda de los aliados que quedaron, los Vengadores deberán reunirse una vez más para intentar deshacer sus acciones y restaurar el orden en el universo de una vez por todas, sin importar cuáles son las consecuencias... Cuarta y última entrega de la saga ""Vengadores"". (FILMAFFINITY)"
El abrazo de la serpiente,125,"Aventuras, Drama","Karamakate fue en su día un poderoso chamán del Amazonas; es el último superviviente de su pueblo y vive en lo más profundo de la selva. Lleva años en total soledad, que lo han convertido en ""chullachaqui"", una cáscara vacía de hombre, privado de emociones y recuerdos. Pero su solitaria vida da un vuelco el día en que a su remota guarida llega Evan, un etnobotánico norteamericano en busca de la yakruna, una poderosa planta oculta, capaz de enseñar a soñar. Karamakate accede a acompañar a Evan en su búsqueda y juntos emprenden un viaje al corazón de la selva en el que el pasado, presente y futuro se confunden, y en el que el chamán irá recuperando sus recuerdos perdidos. (FILMAFFINITY)"
Isle of Dogs,101,"Animación, Fantástico, Comedia, Aventuras","Después de que todas las mascotas caninas de Megasaki City sean exiliadas a una isla que es un vertedero, un niño de 12 años emprende un viaje para buscar a su perro extraviado. (FILMAFFINITY)"
Gone Girl,149,"Intriga, Thriller","El día de su quinto aniversario de boda, Nick Dunne (Ben Affleck) informa que su esposa Amy (Rosamund Pike) ha desaparecido misteriosamente. Pero pronto la presión policial y mediática hace que el retrato de felicidad doméstica que ofrece Nick empiece a tambalearse. Además, su extraña conducta lo convierte en sospechoso, y todo el mundo comienza a preguntase si Nick mató a su esposa... Adaptación del best-seller ""Perdida"", de Gillian Flynn. (FILMAFFINITY)"
Omar,98,"Drama, Thriller, Romance","Omar es un joven palestino que está acostumbrado a esquivar las balas de las tropas que vigilan el muro de los territorios ocupados para visitar a Nadia, su amor secreto. Pero cuando un día es capturado tras una acción de resistencia, empieza un letal juego del gato y el ratón con la policía militar. Las sospechas y la traición hacen peligrar la relación con sus dos amigos de la infancia, Amjad y Tarek, el hermano de Nadia. Los sentimientos de Omar acaban tan divididos como Palestina, aunque todas sus acciones estén guiadas por su amor a Nadia. (FILMAFFINITY)"
Another Day of Life,85,"Animación, Drama","Relato autobiográfico de Ryszard Kapuściński, que narra los últimos días de Angola como colonia portuguesa en 1975, y las terribles consecuencias de esta descolonización: una guerra civil que asoló la región hasta hace muy poco. Coproducción polaco-española, en formato de docudrama de animación para adultos. (FILMAFFINITY)"
Aftersun,98,Drama,Sophie (Francesca Corio / Celia Rowlson-Hall como la Sophie adulta) reflexiona sobre la alegría compartida y la melancolía privada de unas vacaciones que hizo con su padre (Paul Mescal) 20 años atrás. Los recuerdos reales e imaginarios llenan los espacios entre las imágenes mientras intenta reconciliar al padre que conoció con el hombre que no conoció. (FILMAFFINITY)
"Batman: The Dark Knight Returns, Part 2",75,"Animación, Thriller, Acción","Siguiendo con los sucesos que nos hicieron vibrar en El Regreso del Caballero Oscuro: Primera Parte, un Batman odiado y querido a partes iguales por los ciudadanos de Ciudad Gotham será llevado hasta sus límites. Teniendo que enfrentarse de nuevo a un Joker más loco que nunca, se encontrará inesperadamente luchando a muerte con su antiguo aliado, Superman. Solo uno de los dos podrá sobrevivir al combate definitivo.  Segunda parte de la adaptación del aclamado cómic de Frank Miller ""El regreso del señor de la noche"". (FILMAFFINITY)"
Beasts of No Nation,137,"Drama, Bélico","En plena guerra civil de un país africano, el pequeño Agu (Abraham Attah), separado de su madre, pierde al resto de si familia y se convierte en un niño soldado, manipulado por un temible señor de la guerra, el Comandante (Idris Elba), que le enseñará a matar y le instruirá en los caminos de la guerra. (FILMAFFINITY)"
Cerrar los ojos,169,Drama,"Un célebre actor español, Julio Arenas, desaparece durante el rodaje de una película. Aunque nunca se llega a encontrar su cadáver, la policía concluye que ha sufrido un accidente al borde del mar. Muchos años después, esta suerte de misterio vuelve a la actualidad a raíz de un programa de televisión que pretende evocar la figura del actor, ofreciendo como primicia imágenes de las últimas escenas en que participó, rodadas por el que fue su íntimo amigo, el director Miguel Garay."
Suzume no tojimari,122,"Animación, Fantástico, Aventuras, Drama","Una joven de 17 años llamada Suzume ayuda a un misterioso joven a cerrar las puertas de otro mundo, que están provocando desastres en todo Japón. (FILMAFFINITY)"
Spotlight,121,Drama,"En el año 2002, un reducido equipo de reporteros de investigación del Boston Globe destapó los escándalos de pederastia cometidos durante décadas por curas del estado de Massachussets. La publicación de estos hechos, que la archidiócesis de Boston intentó ocultar, sacudió a la Iglesia Católica como institución. (FILMAFFINITY)"
