Título,Título Original,Año,Duración,Género,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Sinopsis,Enlace
1917,1917,2019,119,"Bélico, Drama",Reino Unido,"7,7",50.029,Sam Mendes,"George MacKay, Dean-Charles Chapman, Mark Strong, Richard Madden, Benedict Cumberbatch, Colin Firth, Andrew Scott, Daniel Mays","En lo más crudo de la Primera Guerra Mundial, dos jóvenes soldados británicos, Schofield (George MacKay) y Blake (Dean-Charles Chapman) reciben una misión aparentemente imposible. En una carrera contrarreloj, deberán atravesar el territorio enemigo para entregar un mensaje que evitará un mortífero ataque contra cientos de soldados, entre ellos el propio hermano de Blake.",https://www.filmaffinity.com/es/film145446.html
El padre,The Father,2020,97,Drama,Reino Unido,"7,7",17.131,Florian Zeller,"Anthony Hopkins, Olivia Colman, Imogen Poots, Rufus Sewell, Olivia Williams, Mark Gatiss, Evie Wray, Ayesha Dharker","Anthony (Anthony Hopkins), un hombre de 80 años mordaz, algo travieso y que tercamente ha decidido vivir solo, rechaza todos y cada uno de las cuidadoras que su hija Anne (Olivia Colman) intenta contratar para que le ayuden en casa. Está desesperada porque ya no puede visitarle a diario y siente que la mente de su padre empieza a fallar y se desconecta cada vez más de la realidad. Anne sufre la paulatina pérdida de su padre a medida que la mente de éste se deteriora, pero también se aferra al derecho a vivir su propia vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film701512.html
Relatos salvajes,Relatos salvajes,2014,119,"Comedia, Drama",Argentina,"7,7",67.877,Damián Szifrón,"Ricardo Darín, Darío Grandinetti, Leonardo Sbaraglia, Érica Rivas, Oscar Martínez, Julieta Zylberberg, Rita Cortese, María Onetto","La película consta de seis episodios que alternan la intriga, la comedia y la violencia. Sus personajes se verán empujados hacia el abismo y hacia el innegable placer de perder el control, cruzando la delgada línea que separa la civilización de la barbarie. (FILMAFFINITY)",https://www.filmaffinity.com/es/film809035.html
La habitación,Room,2015,118,Drama,Irlanda,"7,7",46.134,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Joan Allen, William H. Macy, Megan Park, Amanda Brugel, Sean Bridgers, Joe Pingue","Para Jack, un niño de cinco años, la habitación es el mundo entero, el lugar donde nació, donde come, juega y aprende con su madre. Por la noche, mamá lo pone a dormir en el armario, por si viene el viejo Nick. La habitación es el hogar de Jack, mientras que para su madre es el cubículo donde lleva siete años encerrada, secuestrada desde los diecinueve años. Con gran tesón e ingenio, la joven ha creado en ese reducido espacio una vida para su hijo, y su amor por él es lo único que le permite soportar lo insoportable. Sin embargo, la curiosidad de Jack va en aumento, a la par que la desesperación de su madre, que sabe que la habitación no podrá contener ambas cosas por mucho más tiempo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film741318.html
As bestas,As bestas,2022,137,"Thriller, Drama",España,"7,6",31.671,Rodrigo Sorogoyen,"Marina Foïs, Denis Ménochet, Luis Zahera, Diego Anido, Marie Colomb, Luisa Merelas, José Manuel Fernández y Blanco, Xavier Estévez","Antoine y Olga son una pareja francesa que se instaló hace tiempo en una aldea del interior de Galicia. Allí llevan una vida tranquila, aunque su convivencia con los lugareños no es tan idílica como desearían. Un conflicto con sus vecinos, los hermanos Anta, hará que la tensión crezca en la aldea hasta alcanzar un punto de no retorno.",https://www.filmaffinity.com/es/film227540.html
La doncella (The Handmaiden),Ah-ga-ssi (The Handmaiden),2016,145,"Thriller, Drama, Romance",Corea del Sur,"7,6",16.834,Park Chan-wook,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Moon So-ri, Kim Hae-sook, Lee Yong-nyeo, Lee Dong-hwi, Yoo Min-chae","Corea, década de 1930, durante la colonización japonesa. La resuelta joven Sookee es contratada como criada de una rica mujer japonesa, Hideko, que vive recluida en una gran mansión bajo la influencia de su dominante tío. Pero Sookee está allí con un propósito secreto: ayudar a un estafador que se hace pasar por un conde japonés para seducir a Hideko y heredar después la fortuna de su tío. (FILMAFFINITY)",https://www.filmaffinity.com/es/film948449.html
Spider-Man: Un nuevo universo,Spider-Man: Into the Spider-Verse,2018,117,"Animación, Aventuras, Acción, Fantástico",Estados Unidos,"7,6",29.379,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Lauren Vélez","En un universo paralelo donde Peter Parker ha muerto, un joven de secundaria llamado Miles Morales es el nuevo Spider-Man. Sin embargo, cuando el líder mafioso Wilson Fisk (a.k.a Kingpin) construye el ""Super Colisionador"" trae a una versión alternativa de Peter Parker que tratará de enseñarle a Miles como ser un mejor Spider-Man. Pero no será el único Spider Man en entrar a este universo, 4 versiones alternas de Spidey aparecerán y buscarán regresar a su universo antes de que toda la realidad colapse.",https://www.filmaffinity.com/es/film773389.html
Tres anuncios en las afueras,"Three Billboards Outside Ebbing, Missouri",2017,112,"Thriller, Drama",Reino Unido,"7,6",52.361,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, Peter Dinklage, Caleb Landry Jones, Lucas Hedges, Abbie Cornish","Mildred Hayes (Frances McDormand), una mujer de 50 años cuya hija adolescente ha sido violada y asesinada, decide iniciar por su cuenta una guerra contra la Policía de su pueblo, Ebbing, al considerar que no hacen lo suficiente para resolver el caso y que se haga justicia. Su primer paso será contratar unas vallas publicitarias denunciando la situación y señalando al jefe de policía, William Willoughby (Woody Harrelson), como responsable principal de la pasividad policial. (FILMAFFINITY)",https://www.filmaffinity.com/es/film652266.html
Prisioneros,Prisoners,2013,153,"Thriller, Drama",Estados Unidos,"7,6",61.416,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano, David Dastmalchian","Keller Dover se enfrenta a la peor de las pesadillas: Anna, su hija de seis años, ha desaparecido con su amiga Joy y, a medida que pasa el tiempo, el pánico lo va dominando. Desesperado, decide ocuparse personalmente del asunto. Pero, ¿hasta dónde está dispuesto a llegar para averiguar el paradero de su hija?",https://www.filmaffinity.com/es/film276566.html
Oppenheimer,Oppenheimer,2023,180,"Drama, Thriller",Estados Unidos,"7,6",25.643,Christopher Nolan,"Cillian Murphy, Emily Blunt, Robert Downey Jr., Matt Damon, Josh Hartnett, Florence Pugh, Jason Clarke, Alden Ehrenreich","En tiempos de guerra, el brillante físico estadounidense Julius Robert Oppenheimer (Cillian Murphy), al frente del ""Proyecto Manhattan"", lidera los ensayos nucleares para construir la bomba atómica para su país. Impactado por su poder destructivo, Oppenheimer se cuestiona las consecuencias morales de su creación. Desde entonces y el resto de su vida, se opondría firmemente al uso de armas nucleares.",https://www.filmaffinity.com/es/film294474.html
Wolfwalkers,Wolfwalkers,2020,103,"Animación, Fantástico, Aventuras",Irlanda,"7,6",5.056,"Tomm Moore, Ross Stewart","Honor Kneafsey, Eva Whittaker, Sean Bean, Maria Doyle Kennedy, Simon McBurney, Tommy Tiernan","En una época en la que reinan la superstición y la magia, los lobos están considerados como una fuerza demoníaca que debe ser eliminada. Robyn es una joven aprendiz que viaja hasta Irlanda junto a su padre para erradicar al último grupo de lobeznos que conoce, pero la situación cambia cuando Robyn salva a Mebh. Su amistad la lleva a conocer el mundo de los denominados ""Wolfwalkers"", transformándose en aquello que su padre la ha mandado a destruir.",https://www.filmaffinity.com/es/film764468.html
Klaus,Klaus,2019,97,"Animación, Fantástico, Comedia, Drama",España,"7,6",17.904,Sergio Pablos,"Quim Gutiérrez, Luis Tosar, Belén Cuesta","Un cartero es enviado a una ciudad congelada en el norte, donde descubre que Papá Noel está escondido. A Jesper (voz de Quim Gutiérrez), el peor estudiante de la academia postal, le destinan a Smeerensburg, una gélida isla más allá del Círculo Polar Ártico, donde sus conflictivos habitantes apenas intercambian palabras y, mucho menos, cartas. Jesper está a punto de rendirse cuando encuentra una aliada, Alva (Belén Cuesta), la profesora del pueblo. También descubre a Klaus (Luis Tosar), un misterioso carpintero que vive aislado en una cabaña repleta de juguetes hechos a mano. Estas improbables amistades traerán la alegría de nuevo  a Smeerensburg, y crearán un nuevo legado de vecinos generosos, leyendas mágicas y calcetines colgados con cariño en las chimeneas.",https://www.filmaffinity.com/es/film148968.html
Green Book,Green Book,2018,130,"Drama, Comedia",Estados Unidos,"7,6",50.477,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Iqbal Theba, Linda Cardellini, Ricky Muse, David Kallaway, Montrel Miller, Harrison Stone","Año 1962. Tony Lip (Viggo Mortensen) es un rudo italoamericano del Bronx que es contratado como chófer del virtuoso pianista negro Don Shirley (Mahershala Ali). Ambos emprenderán un viaje para una gira de conciertos por el Sur de Estados Unidos, donde Tony deberá tener presente ""El libro verde"", una guía que indicaba los pocos establecimientos donde se aceptaba a los afroamericanos. Son dos personas que tendrán que hacer frente al racismo y los prejuicios, pero a las que el destino unirá, obligándoles a dejar de lado las diferencias para sobrevivir y prosperar en el viaje de sus vidas. (FILMAFFINITY)",https://www.filmaffinity.com/es/film710220.html
El cuento de la princesa Kaguya,Kaguya-hime no Monogatari,2013,137,"Animación, Fantástico, Drama",Japón,"7,6",9.210,Isao Takahata,,"Basada en un cuento popular japonés anónimo del siglo IX, ""El cortador de bambú"". La historia comienza cuando una pareja de ancianos campesinos encuentra a una niña diminuta dentro de una planta de bambú, y deciden adoptarla como si fuera su hija. Pasan los años, y rápidamente se convierte en una hermosa mujer pretendida por muchos hombres poderosos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film931294.html
El lobo de Wall Street,The Wolf of Wall Street,2013,179,"Comedia, Drama",Estados Unidos,"7,6",103.294,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Kyle Chandler, Cristin Milioti, Rob Reiner, Matthew McConaughey, P.J. Byrne","Película basada en hechos reales del corredor de bolsa neoyorquino Jordan Belfort (Leonardo DiCaprio). A mediados de los años 80, Belfort era un joven honrado que perseguía el sueño americano, pero pronto en la agencia de valores aprendió que lo más importante no era hacer ganar a sus clientes, sino ser ambicioso y ganar una buena comisión. Su enorme éxito y fortuna le valió el mote de “El lobo de Wall Street”. Dinero. Poder. Mujeres. Drogas. Las tentaciones abundaban y el temor a la ley era irrelevante. Jordan y su manada de lobos consideraban que la discreción era una cualidad anticuada; nunca se conformaban con lo que tenían. (FILMAFFINITY)",https://www.filmaffinity.com/es/film828416.html
La canción del mar,Song of the Sea,2014,90,"Animación, Aventuras, Fantástico, Infantil",Irlanda,"7,6",10.140,Tomm Moore,,"La historia del viaje a casa del último Niño Foca. Después de la desaparición de su madre, Ben y Saoirse son enviados a vivir con su abuela a la ciudad. Cuando deciden volver a su casa junto al mar, su viaje se convierte en una carrera contra el tiempo a medida que se internan en un mundo que Ben sólo conoce a través de las leyendas que le narraba su madre. Pero éste no es un cuento para dormir; estas criaturas llevan en nuestro mundo demasiado tiempo. Ben pronto se da cuenta de que Saoirse será la clave para su supervivencia. (FILMAFFINITY)",https://www.filmaffinity.com/es/film696917.html
Monstruo,Kaibutsu,2023,126,Drama,Japón,"7,5",1.367,Hirokazu Koreeda,"Soya Kurokawa, Hiiragi Hinata, Sakura Ando, Eita, Mitsuki Takahata, Akihiro Kakuta, Shido Nakamura, Yûko Tanaka","Cuando su joven hijo Minato empieza a comportarse de forma extraña, su madre siente que algo va mal. Al descubrir que el responsable de todo ello es un profesor, irrumpe en la escuela exigiendo saber qué está pasando. Pero a medida que la historia se desarrolla a través de los ojos de la madre, el profesor y el niño, la verdad va saliendo a la luz, poco a poco... (FILMAFFINITY)",https://www.filmaffinity.com/es/film700716.html
Vidas pasadas,Past Lives,2023,105,"Romance, Drama",Estados Unidos,"7,5",1.264,Celine Song,"Greta Lee, Yoo Teo, John Magaro, Jonica T. Gibbs, Isaac Cole Powell, Jane Yubin Kim, Kristen Sieh, Nathan Clarkson","Nora y Hae Sung, dos amigos de la infancia con una fuerte conexión, se separaron cuando la familia de Nora, que entonces tenía solo 10 años, emigró desde Corea del Sur a Canadá.  Muchos años después, cuando Nora está estudiando teatro en Nueva York, ambos se reencuentra con él online, y pasarán juntos una semana que les enfrentará al amor, al destino y a las elecciones que componen una vida.",https://www.filmaffinity.com/es/film450022.html
An Elephant Sitting Still,Da xiang xi di er zuo,2018,234,Drama,China,"7,5",1.735,Hu Bo,"Zhang Yu, Peng Yuchang, Wang Uvin, Li Congxi, He Miaomiao, Yanmanzi Zhu, Zhao Yanguozhang, Dong Xiangrong","Un día desde el amanecer hasta el anochecer, con varios personajes intentando tomar un tren para escapar de la espiral descendente en la que se encuentran. (FILMAFFINITY)",https://www.filmaffinity.com/es/film918355.html
Vengadores: Infinity War,Avengers: Infinity War,2018,156,"Ciencia ficción, Fantástico, Acción",Estados Unidos,"7,5",44.481,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Benedict Cumberbatch, Chris Evans, Mark Ruffalo, Scarlett Johansson, Chris Pratt, Tom Holland","El todopoderoso Thanos ha despertado con la promesa de arrasar con todo a su paso, portando el Guantelete del Infinito, que le confiere un poder incalculable. Los únicos capaces de pararle los pies son los Vengadores y el resto de superhéroes de la galaxia, que deberán estar dispuestos a sacrificarlo todo por un bien mayor. Capitán América e Ironman deberán limar sus diferencias, Black Panther apoyará con sus tropas desde Wakanda, Thor y los Guardianes de la Galaxia e incluso Spider-Man se unirán antes de que los planes de devastación y ruina pongan fin al universo. ¿Serán capaces de frenar el avance del titán del caos? (FILMAFFINITY)",https://www.filmaffinity.com/es/film827414.html
Mandarinas,Mandariinid (Tangerines),2013,83,"Drama, Bélico",Estonia,"7,5",10.150,Zaza Urushadze,"Lembit Ulfsak, Giorgi Nakashidze, Misha Meskhi, Elmo Nüganen, Raivo Trass","En 1990, estalla la guerra en una provincia georgiana que busca la independencia. Ivo, un estonio, decide quedarse, a diferencia del resto de sus compatriotas, para ayudar a su amigo Margus con la cosecha de mandarinas. Al comenzar el conflicto, dos soldados resultan heridos delante de su casa, e Ivo se ve obligado a cuidar de ellos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film894315.html
Dallas Buyers Club,Dallas Buyers Club,2013,117,Drama,Estados Unidos,"7,5",56.087,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn, Dallas Roberts, Denis O'Hare, Griffin Dunne, Kevin Rankin","Basada en la vida real de Ron Woodroof, un cowboy de rodeo texano, drogadicto y mujeriego, al que en 1986 le diagnosticaron SIDA y le pronosticaron un mes de vida. Empezó entonces a tomar AZT, el único medicamento disponible en aquella época para luchar contra tan terrible enfermedad. (FILMAFFINITY)",https://www.filmaffinity.com/es/film472295.html
La ciudad de las estrellas (La La Land),La La Land,2016,127,"Musical, Romance, Comedia, Drama",Estados Unidos,"7,5",59.162,Damien Chazelle,"Emma Stone, Ryan Gosling, John Legend, Rosemarie Dewitt, J.K. Simmons, Finn Wittrock, Sonoya Mizuno, Jessica Rothe","Mia (Emma Stone), una joven aspirante a actriz que trabaja como camarera mientras acude a castings, y Sebastian (Ryan Gosling), un pianista de jazz que se gana la vida tocando en sórdidos tugurios, se enamoran, pero su gran ambición por llegar a la cima en sus carreras artísticas amenaza con separarlos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film689956.html
Her,Her,2013,126,"Ciencia ficción, Romance, Drama",Estados Unidos,"7,5",78.326,Spike Jonze,"Joaquin Phoenix, Amy Adams, Rooney Mara, Olivia Wilde, Chris Pratt, Portia Doubleday, Matt Letscher, Brian Johnson","En un futuro cercano, Theodore, un hombre solitario a punto de divorciarse que trabaja en una empresa como escritor de cartas para terceras personas, compra un día un nuevo sistema operativo basado en el modelo de Inteligencia Artificial, diseñado para satisfacer todas las necesidades del usuario. Para su sorpresa, se crea una relación romántica entre él y Samantha, la voz femenina de ese sistema operativo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film889720.html
Close,Close,2022,104,Drama,Bélgica,"7,5",6.513,Lukas Dhont,"Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker, Igor van Dessel, Kevin Janssens, Marc Weiss","Léo y Rémi, de 13 años, son amigos de toda la vida. Hasta que un suceso impensable los separa. Léo se acerca entonces a Sophie, la madre de Rémi, para tratar de entender. (FILMAFFINITY)",https://www.filmaffinity.com/es/film297297.html
"Hasta siempre, hijo mío",Di jiu tian chang,2019,180,Drama,China,"7,5",2.572,Wang Xiaoshuai,"Ai Liya, Du Jiang, Zhao Yanguozhang, Li Jingjing, Qi Xi, Xu Cheng, Wang Jingchun, Roy Wang, Yong Mei","Liyun y Yaojun, una pareja de obreros, intenta recuperarse de una devastadora tragedia familiar en los tumultuosos años entre 1980 y el siglo XXI. Constreñidos por la política nacional de hijo único, sus vidas se transforman gradualmente por el impacto de la cambiante identidad nacional en China. (FILMAFFINITY)",https://www.filmaffinity.com/es/film916238.html
La gran belleza,La grande bellezza,2013,142,"Comedia, Drama",Italia,"7,4",37.461,Paolo Sorrentino,"Toni Servillo, Carlo Verdone, Sabrina Ferilli, Serena Grandi, Galatea Ranzi, Isabella Ferrari, Giulia Di Quilio, Luca Marinelli","En Roma, durante el verano, nobles decadentes, arribistas, políticos, criminales de altos vuelos, periodistas, actores, prelados, artistas e intelectuales tejen una trama de relaciones inconsistentes que se desarrollan en fastuosos palacios y villas. El centro de todas las reuniones es Jep Gambardella (Toni Servillo), un escritor de 65 años que  escribió un solo libro y practica el periodismo. Dominado por la indolencia y el hastío, asiste a este desfile de personajes poderosos pero insustanciales, huecos y deprimentes. (FILMAFFINITY)",https://www.filmaffinity.com/es/film202506.html
Captain Fantastic,Captain Fantastic,2016,118,Drama,Estados Unidos,"7,4",45.104,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Kathryn Hahn","Ben (Viggo Mortensen) es un hombre que ha pasado diez años viviendo en los remotos bosques situados en el noroeste de los Estados Unidos criando a sus seis hijos, varios de ellos junto a su mujer. Aislados totalmente de la vida moderna, de las comodidades de las ciudades y de la sociedad de consumo, Ben es un padre devoto que ha inculcado en sus hijos una peculiar forma de pensar y vivir la vida. Sin embargo, una trágica noticia hace que la peculiar familia deba dejar temporalmente su modo de vida en la naturaleza y volver a la civilización. (FILMAFFINITY)",https://www.filmaffinity.com/es/film552091.html
Mommy,Mommy,2014,139,Drama,Canadá,"7,4",16.940,Xavier Dolan,"Anne Dorval, Antoine-Olivier Pilon, Suzanne Clément, Alexandre Goyette, Patrick Huard","En una Canadá ficticia, se aprueba una ley que permite que los padres incapaces de controlar a sus hijos problemáticos les internen en un centro especial. Sin embargo, Diane ""Die"" Despres, una madre viuda con carácter, decide educar ella misma a su hijo adolescente Steve, que padece ADHD y que puede llegar a resultar violento. Kyla, la vecina de enfrente de su casa, le ofrece su ayuda a Die. La relación entre los tres se hará cada vez más estrecha, surgiendo preguntas sobre el misterio de su vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film656945.html
Nebraska,Nebraska,2013,115,"Drama, Comedia",Estados Unidos,"7,4",31.330,Alexander Payne,"Bruce Dern, Will Forte, Stacy Keach, Bob Odenkirk, June Squibb, Missy Doty, Kevin Kunkel, Angela McEwan, Melinda Simonsen","A Woody Grant, un anciano con síntomas de demencia, le comunican por correo que ha ganado un premio. Cree que se ha hecho rico y obliga a su receloso hijo David a emprender un viaje para ir a cobrarlo. Poco a poco, la relación entre ambos, rota durante años por el alcoholismo de Woody, tomará un cariz distinto para sorpresa de la madre y del triunfador hermano de David. (FILMAFFINITY)",https://www.filmaffinity.com/es/film888596.html
Te estoy amando locamente,Te estoy amando locamente,2023,107,Drama,España,"7,4",1.813,Alejandro Marin,"Ana Wagener, Omar Banana, Alba Flores, Jesús Carroza, Carmen Orellana, Lola Buzón, Mari Paz Sayago, La Dani","Sevilla, 1977. En un momento en el que la homosexualidad es delito, Reme, una madre tradicional movida por el amor de su hijo, un adolescente aspirante a artista, se involucrará en el movimiento LGTBI andaluz, gestado paradójicamente en el seno de la Iglesia. (FILMAFFINITY)",https://www.filmaffinity.com/es/film663650.html
Un asunto de familia,Manbiki kazoku (Shoplifters),2018,121,Drama,Japón,"7,4",12.177,Hirokazu Koreeda,"Kirin Kiki, Sôsuke Ikematsu, Lily Franky, Moemi Katayama, Sakura Ando, Mayu Matsuoka, Jyo Kairi, Miyu Sasaki, Yûki Yamada","Después de uno de sus habituales hurtos, Osamu y su hijo encuentran a una niña en la calle, aterida de frío. Al principio, la mujer de Osamu no quiere que se quede con ellos, pero acaba apiadándose de ella. A pesar de sobrevivir con dificultades gracias a pequeños robos, la familia es feliz, hasta que un incidente imprevisto revela un secreto que pone a prueba los lazos que les unen. (FILMAFFINITY)",https://www.filmaffinity.com/es/film213201.html
Retrato de una mujer en llamas,Portrait de la jeune fille en feu,2019,120,"Drama, Romance",Francia,"7,4",13.475,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras, Cécile Morel, Armande Boulanger, Michèle Clément","Francia, 1770. Marianne, una pintora, recibe un encargo de una condesa que consiste en realizar el retrato de bodas de su hija Héloïse, una joven que acaba de dejar el convento y que tiene serias dudas respecto a su próximo matrimonio. Marianne tiene que retratarla sin su conocimiento, por lo que se dedica a investigarla a diario. (FILMAFFINITY)",https://www.filmaffinity.com/es/film218131.html
